run_dir,method,scheme,tp,fp,fn,tn,tol_pred_match,tol_pred_total,tol_gt_match,tol_gt_total,valid_pixels,fault_pixels,stem,dice,iou,precision,recall,specificity,tolerant_precision,tolerant_recall,tolerant_f1
CRACKS35,slog,primary,603,1116,1894,82501,603,1719,853,2497,86114,2497,section_167,0.2860531309291128,0.16689731525002244,0.3507853403120955,0.24148978774432725,0.9866534317183125,0.3507853403120955,0.3416099319169339,0.34613683627565695
CRACKS35,slog,primary,741,1953,1326,64594,741,2694,1097,2067,68614,2067,section_168,0.31127914303652326,0.1843283582084967,0.27505567928628416,0.3584905660360015,0.9706523209158985,0.27505567928628416,0.5307208514730009,0.36232820621892564
CRACKS35,slog,primary,818,1119,1831,83531,818,1937,1224,2649,87299,2649,section_178,0.3567378979495056,0.21709129511619668,0.42230252968289983,0.3087957719882643,0.9867808623743666,0.42230252968289983,0.4620611551511436,0.44128811670666357
CRACKS35,slog,primary,513,505,1534,72872,513,1018,827,2047,75424,2047,section_193,0.33474714518650983,0.20101880877664177,0.5039292730795292,0.25061064973008984,0.9931177344398118,0.5039292730795292,0.404005862235447,0.44846899368687543
CRACKS35,slog,primary,250,643,1338,70684,250,893,548,1588,72915,1588,section_196,0.2015316404667411,0.11205737337466581,0.2799552071637183,0.15743073047759806,0.9909851809271397,0.2799552071637183,0.34508816120689495,0.3091280733579403
CRACKS35,slog,primary,441,600,1925,65026,441,1041,808,2366,67992,2366,section_197,0.25887877898368394,0.14868509777427955,0.42363112391523894,0.18639053254359092,0.9908572821745969,0.42363112391523894,0.34150464919551354,0.3781603254073237
CRACKS35,slog,primary,30,1464,2038,70425,30,1494,104,2068,73957,2068,section_204,0.016844469399166635,0.008493771234404039,0.020080321285006156,0.014506769825848614,0.9796352710427215,0.020080321285006156,0.05029013539627519,0.028700735517284436
CRACKS35,slog,primary,342,764,1183,76034,342,1106,420,1525,78323,1525,section_213,0.25997719498190813,0.1494102228040655,0.3092224231436779,0.22426229508049667,0.990051824266128,0.3092224231436779,0.27540983606376784,0.29133833813413035
CRACKS35,slog,primary,0,1327,0,70739,0,1327,0,0,72066,0,section_223,0.0,0.0,0.0,0.0,0.9815863236476312,0.0,0.0,0.0
CRACKS35,slog,primary,0,582,0,73922,0,582,0,0,74504,0,section_231,0.0,0.0,0.0,0.0,0.9921883388810008,0.0,0.0,0.0
CRACKS35,slog,primary,0,1281,0,72812,0,1281,0,0,74093,0,section_239,0.0,0.0,0.0,0.0,0.9827109173604818,0.0,0.0,0.0
CRACKS35,slog,primary,0,1110,0,98045,0,1110,0,0,99155,0,section_250,0.0,0.0,0.0,0.0,0.9888054056778792,0.0,0.0,0.0
CRACKS35,slog,primary,0,920,0,82712,0,920,0,0,83632,0,section_251,0.0,0.0,0.0,0.0,0.9889994260568934,0.0,0.0,0.0
CRACKS35,slog,primary,0,1031,0,77851,0,1031,0,0,78882,0,section_256,0.0,0.0,0.0,0.0,0.9869298445778522,0.0,0.0,0.0
CRACKS35,slog,primary,0,733,0,75218,0,733,0,0,75951,0,section_261,0.0,0.0,0.0,0.0,0.9903490408288251,0.0,0.0,0.0
CRACKS35,slog,primary,0,744,0,75159,0,744,0,0,75903,0,section_262,0.0,0.0,0.0,0.0,0.9901980158885696,0.0,0.0,0.0
CRACKS35,slog,primary,0,944,0,77508,0,944,0,0,78452,0,section_267,0.0,0.0,0.0,0.0,0.9879671646355749,0.0,0.0,0.0
CRACKS35,slog,primary,0,971,0,86267,0,971,0,0,87238,0,section_277,0.0,0.0,0.0,0.0,0.988869529333434,0.0,0.0,0.0
CRACKS35,slog,primary,0,1696,0,107540,0,1696,0,0,109236,0,section_284,0.0,0.0,0.0,0.0,0.9844739829359384,0.0,0.0,0.0
CRACKS35,slog,primary,0,1106,0,77967,0,1106,0,0,79073,0,section_287,0.0,0.0,0.0,0.0,0.9860129247655981,0.0,0.0,0.0
CRACKS35,slog,primary,0,646,0,91142,0,646,0,0,91788,0,section_300,0.0,0.0,0.0,0.0,0.9929620429684716,0.0,0.0,0.0
CRACKS35,slog,inclusive_uncertain,715,2985,12615,66124,715,3700,1339,13330,82439,13330,section_010,0.08396946564880566,0.04382470119519226,0.19324324324272096,0.05363840960236036,0.9568073622826323,0.19324324324272096,0.10045011252805668,0.13218756561336914
CRACKS35,slog,inclusive_uncertain,1112,2917,10561,59684,1112,4029,1756,11673,74274,11673,section_013,0.14163800789699296,0.07621658670316914,0.27599900719713083,0.09526257174668443,0.9534033002666167,0.27599900719713083,0.15043262229062757,0.19472877037054884
CRACKS35,slog,inclusive_uncertain,597,3112,14156,63690,597,3709,1049,14753,81555,14753,section_017,0.06467338316538583,0.033417296389569875,0.16095982744631718,0.04046634582793976,0.9534145684259523,0.16095982744631718,0.07110418220018226,0.09863585845911615
